model,gamma,alpha,pred_length,mae,mse,rmse,mape,mspe
PatchTST,0.5,0.0,192,0.8176715970039368,1.0606838464736938,1.0298950672149658,2.0883560180664062,304.74237060546875
PatchTST,0.5,0.2,96,0.8033990263938904,1.0059809684753418,1.0029860734939575,3.557888984680176,7998.27880859375
PatchTST,0.5,0.2,192,0.8039237856864929,1.0032647848129272,1.0016310214996338,3.181180715560913,5954.36865234375
PatchTST,0.5,0.4,96,0.8027302026748657,1.014156460762024,1.0070533752441406,1.7367579936981201,165.86251831054688
PatchTST,0.5,0.4,192,0.7961822152137756,0.9983642101287842,0.9991817474365234,1.6392167806625366,134.44973754882812
PatchTST,0.5,0.8,96,0.8265908360481262,1.0742883682250977,1.036478877067566,2.3348562717437744,557.8289794921875
PatchTST,0.5,0.8,192,0.8226449489593506,1.066043496131897,1.0324938297271729,2.0213193893432617,276.11322021484375
PatchTST,0.95,0.0,96,0.6322284936904907,0.619375467300415,0.7870041131973267,2.205380439758301,91.5785903930664
PatchTST,0.95,0.0,192,0.6671139001846313,0.6875419616699219,0.8291814923286438,2.558629274368286,209.71871948242188
PatchTST,0.95,0.2,96,0.7721912264823914,0.9341856837272644,0.966532826423645,2.5729901790618896,174.71022033691406
PatchTST,0.95,0.2,192,0.8695113062858582,1.1775165796279907,1.0851343870162964,2.9543092250823975,388.9276428222656
PatchTST,0.95,0.4,96,0.6140556335449219,0.5934037566184998,0.7703270316123962,6.2062458992004395,15852.896484375
PatchTST,0.95,0.4,192,0.6673303246498108,0.7068681716918945,0.840754508972168,5.547255516052246,12451.34375
PatchTST,0.95,0.8,96,0.6968168020248413,0.7636737823486328,0.8738843202590942,4.045010089874268,4680.14697265625
PatchTST,0.95,0.8,192,0.7789331078529358,0.9678049087524414,0.9837707877159119,5.449573040008545,17122.92578125
iTransformer,0.5,0.0,96,0.8110122680664062,1.0439162254333496,1.0217221975326538,1.7550880908966064,183.2188720703125
iTransformer,0.5,0.0,192,0.8103554844856262,1.0444538593292236,1.0219852924346924,1.71268892288208,147.2669677734375
iTransformer,0.5,0.2,96,0.7916125655174255,0.9804884195327759,0.990196168422699,2.0319135189056396,1679.085693359375
iTransformer,0.5,0.2,192,0.7935020923614502,0.9811952710151672,0.9905530214309692,1.823361873626709,1006.00927734375
iTransformer,0.5,0.4,96,0.7855897545814514,0.9676398038864136,0.9836868643760681,1.304168462753296,30.69654083251953
iTransformer,0.5,0.4,192,0.782738983631134,0.9621121883392334,0.980873167514801,1.346271276473999,62.621849060058594
iTransformer,0.5,0.8,96,0.8122426867485046,1.0397933721542358,1.0197025537490845,1.5118536949157715,37.23478698730469
iTransformer,0.5,0.8,192,0.812889575958252,1.042588233947754,1.0210721492767334,1.5918381214141846,61.285884857177734
iTransformer,0.95,0.0,96,0.6566144824028015,0.6779685616493225,0.8233884572982788,2.5548174381256104,134.75570678710938
iTransformer,0.95,0.0,192,0.6603296995162964,0.6803355813026428,0.8248245716094971,2.4806313514709473,182.88699340820312
iTransformer,0.95,0.2,96,0.7652303576469421,0.9134563207626343,0.9557490944862366,3.235304594039917,760.70068359375
iTransformer,0.95,0.2,192,0.8524835705757141,1.1269813776016235,1.061593770980835,3.2675583362579346,659.6786499023438
iTransformer,0.95,0.4,96,0.645788311958313,0.6616145372390747,0.8133969306945801,7.127623081207275,23102.84375
iTransformer,0.95,0.4,192,0.6978182196617126,0.7791463732719421,0.8826926946640015,5.729218482971191,13588.705078125
iTransformer,0.95,0.8,96,0.7046065926551819,0.7789291739463806,0.8825696706771851,3.362072706222534,1432.5341796875
iTransformer,0.95,0.8,192,0.8078833222389221,1.0336333513259888,1.0166776180267334,4.506054401397705,8022.24365234375
